schoolName,schoolType,schoolGov,schoolAdresse,schoolPhoneNumber,schoolEmail
El Faouz,Primaire/Privé,Ben Arous,"Rue Ali Bach Hamba ,Megrine",71429866,None
El Farabi,Primaire/Privé,Bizerte,"Rue Sbitla ,Tinja",92007960, ecole.privee.el.farabi@outlook.com 
El Farabi,Secondaire/Public,Kairouan,"rue Fourati route de Haffouz ,Kairouan",77303662,None
El Fath,Secondaire/Public,Tunis,"56 R. 4106 Cité Ezzouhour ,Tunis",71529480,None
El Fath,Primaire/Privé,Monastir,"28, Rue Tahar Sfar, Ksar Hellal Monastir ,Ksar Helal",73475447,None
El Hikma,Primaire/Privé,Tunis,"47 avenue mongi slim ,Bardo",50418418,None
El Hikma,Primaire/Privé,Tunis,"47 Rue Mongi Slim, 2000 Tunis ,Bardo",50418418, elhikmaschool@gmail.com 
El Horria,Secondaire/Public,Kairouan,"rue d'Andalousie ,Kairouan",77237523,None
El Horria,Secondaire/Public,Mahdia,"AVENUE ALI BELAHOUANE, Mahdia Ezzahra ,Mahdia",73673841,None
El Ifeda,Secondaire/Public,Ariana,"rue El Ifeda ,Ariana Ville",71718190,None
El Imtiaz,Secondaire/Public,Monastir,"rue Abdelaziz Thâalbi ,Moknine",73436240,None
El Imtiez lycée privé,Secondaire/Privé,Tunis,"50, Rue du 03 Août ,Ouardia",71390456/71484011,None
EL IRTIKA,Primaire/Privé,Tunis,"2 RUE DU PROGRES RTE DE GAMMARTH ,La Marsa",71983522/71742975,None
El Irtika,Primaire/Privé,Monastir,"Avenue Hedi Khefacha, Skanes ,Monastir",73908911,None
El Khawarizmi,Secondaire/Public,Gabès,"rue Ali Zouaoui ,Gabès",75275411,None
El Khawarizmi Sidi Bouzid,Primaire/Privé,Sidi Bouzid,"Rue union Maghreb arabe ,Sidi Bouzid",99519529,None
El Khawrezmi,Primaire/Privé,Gafsa,"Umm Al Arais ,Moulares",40199090,None
El Maarefa,Primaire/Privé,Bizerte,"Cité Moustakbel, Route de Tabarka ,Mateur",50691917,None
El Maarifa,Primaire/Privé,Manouba,"Rue Ennajet Jedaida ,Manouba",98466709, almaarifa.jedaida@gmail.com 
El Maarifa,Primaire/Privé,Bizerte,"56  rue de Russie, 7000 Bizerte ,Bizerte Nord",72431857,None
El Maarifa,Primaire/Privé,Sousse,"2 Rue d'Oran ,Msaken",73257212,None
EL MANAHEL,Primaire/Privé,Nabeul,"2 Rue de la Mecque ,Nabeul",72230913/94000010, contact@manahel.tn 
EL MANARA,Primaire/Privé,Tunis,"9 Avenue 2 Mars 1934 ,Bardo",71664714,None
El Manara,Secondaire/Public,Tunis,"24, Avenue Mongi Slim ,Bardo",71662460/71662440,None
El Manhal,Primaire/Privé,Monastir,"Teboulba Monastir ,Teboulba",73492801,None
El Manhel,Secondaire/Privé,Sousse,"5, Rue Salaheddine El Ayoubi ,Sousse Ville",73224545,None
El Maraya,Primaire/Privé,Manouba,"rue chiniois oued ellil ,Manouba",53393965/71627796, el.maraya@yahoo.fr 
El Mokhtar,Primaire/Privé,Tunis,"4 rue Mouaouia ibn Abi Sofien Menzah 8 ,El Menzah",71711330,None
El Ons Kantawi,Primaire/Privé,Sousse,"Cité Ennarjes Kantawi ,Sousse",73246256,None
El Wouroud,Secondaire/Public,Tunis,"54 Avenue 3 Août ,Tunis",71390456,None
El-Faouar School,Primaire/Privé,Kébili,"Al Fawwar ,Kébili",None,None
El-Imtiez - l'Excellence Bekalta,Primaire/Privé,Monastir,"Rue Jawher Essikili ,Bekalta",96413810, e.excellencebekalta@gmail.com 
EL-MAARIFA,Primaire/Privé,Sousse,"Rue Ouahran, Msaken ,Sousse",73257212, e.p.almaarifa@gmail.com 
Elebdaa School,Primaire/Privé,Gabès,"Cité Hached 2 Tebelbou ,Gabès",75292372/26547230, elebdaa.school@gmail.com 
ELFARABI-SCHOOL,Primaire/Privé,Ariana,"Route de Bizerte Km8 - Mnihla - Ariana ,Ariana Ville",55111772,None
ElFerdaws,Primaire/Privé,Tunis,"16 Rue d’Allemagne, cité Éttabek, route de Gammarth KM5. ,La Marsa",71749458/26263448, contact@elferdawsschool.com 
Eline School,Primaire/Privé,Mahdia,"Zone 20 ,Souassi",98375697, zemzem1956@hotmail.com 
ELISSAR SCHOOL,Primaire/Privé,Ariana,"16 Avenue Voltaire, Cité El Ghazala ,Ariana",71757980/98331114/22287107,None
Elite,Primaire/Privé,Mahdia,"Rue Kortoba cité Andalous derrière carrefour Mahdia ,Mahdia",50894130/97277372, contact@ecole-elite.tn 
Elite,Primaire/Public,Sidi Bouzid,"Cité Al maarifa-Aoulad Hafouz ,Sidi Bouzid",26826151,None
Elite,Secondaire/Privé,Sousse,"sousse ,Akouda",,None
Elite,Secondaire/Privé,Mahdia,"Rue Kortoba Cité Andalous derrière carrefour ,Mahdia",97277372, elite.mahdia@gmail.com 
Elite De Demain,Primaire/Privé,Kasserine,"Cité Erriyadh 2 ,Sbiba",20581928,None
Elite des Jasmins,Primaire/Privé,Ariana,"2 Rue Dhia cité al-ghazela ,Raouède",52153514/53951397, elitejasminghazela@gmail.com 
Elite Grombalia,Primaire/Privé,Nabeul,"Cité Erriadh Guanyouba ,Grombalia",72257553, elitegrombalia@yahoo.fr 
Elite Private High School,Secondaire/Privé,Sidi Bouzid,"Résidence ""Al Ali"" Cité El Woroud 1 ,Sidi Bouzid",98500195,None
ELITE SCHOOL,Primaire/Privé,Ben Arous,"3 Avenue de Paris, Boumhel El Bassatine ,Ben Arous",79395222, elitschool.boumhel@gmail.com 
Elite School,Primaire/Privé,Sfax,"Route l'Afrane km 4, Kassas Mahsouna ,Sfax",70033677/29033699, info@eliteschool.tn 
Elite School,Primaire/Privé,Gafsa,"Cité Centrale ,El Mdhilla",52067728,None
ELITE School Siliana,Primaire/Privé,Siliana,"Boîte postale 43 ,Siliana",24297174,None
Elite School Tozeur,Primaire/Privé,'Tozeur',"Route Al Hajij ,'Tozeur'",51780239/52003222/54840332,None
Ellissa School,Primaire/Privé,Sousse,"Msaken ,Sousse",98563799,None
ELS - Sousse,Primaire/Privé,Sousse,"Zone industrielle ""Sayidi ABDELHAMID"". Face de Carrefour ""Cash & Carry"" ,Sousse",92063043, elssecretariat@gmail.com 
Emile Zola,Primaire/Privé,Tunis,"Av. Mongi slim ksar saiid 2 ,Tunis",71501010, emilezola.privateschool@gmail.com 
EMS-school,Secondaire/Privé,Tunis,"3 Rue Socrate les Berges du lac, La Goulette ,Tunis",98190341, contact@ems-school.tn 
Enfant d'Or,Primaire/Privé,Bizerte,"Haddadia ,Menzel Jemil",54998912/21604010,None
Ennajah,Primaire/Privé,Nabeul,"rue Habib Thameur 8080 Menzel Temime Nabeul ,Menzel Temime",72344134,None
Ennajah,Primaire/Privé,Mahdia,"Rue Taeib M'hiri ,Ksour Essef",73665219,None
Ennajda,Secondaire/Public,Tunis,"36 Avenue madrid ,Tunis",71258625,None
Ennesrine Pour l'Excellence,Primaire/Privé,Mahdia,"Avenue Farhat Hachad ,Eljem",73637054,None
Ennour,Primaire/Privé,Kairouan,"Mansoura, près de la Mosquée Hassanate 3180 ,Kairouan",77280042,None
ENSI - Ecole Nationale des Sciences de l'Informatique,Supérieur/Public,Manouba,"Campus Universitaire ,Manouba",71600444, webmaster@ensi-uma.tn 
EPI School,Primaire/Privé,Sousse,"Route de Ceinture Sahloul ,Sousse",73814500, scolarite.epischool@episousse.com.tn 
EPI Sousse : Ecole Pluridisciplinaire Internationale,Supérieur/Privé,Sousse,"Route de Ceinture, Sahloul ,Sousse",73296060/73296272/31325100, contact@episousse.com 
Errached,Secondaire/Public,Tunis,"Bd 20 Mars Bab Saadoun ,Tunis",71563098,None
Erroua-La Manouba,Primaire/Privé,Manouba,"Rue les Jardins, Oued Elil ,Manouba",71533381,None
Errouki,Secondaire/Public,Nabeul,"rue Tahar Ben Achour ,Korba",72384377,None
Esad Tunis,Supérieur/Privé,Tunis,"01 Rue Baudelaire El Omrane ,Tunis",55798928, kmimita@esad.tn 
ESPIMA BUSINESS SCHOOL,Supérieur/Privé,Tunis,"10 Rue Socrate, Z.I Kheireddine ,Le Kram",71182625, info@ebs.tn 
esprit : Ecole Sup Privée d'Ingénierie et de Technologies,Supérieur/Privé,Ariana,"1, 2 rue André Ampère - 2083 - Pôle Technologique - El Ghazala. ,Ariana",70250000, contact@esprit.tn 
Esprit Education,Primaire/Privé,Ariana,"Z.I. Chotrana II B.P. 160 Pôle Technologique El Ghazela ,Ariana",70250070, esprit-education@esprit.tn 
ESSIDDIK,Primaire/Privé,Sfax,"2 rue Khaled ibn Walid ,Sfax",74201306/98411589/99411589, ecoleessiddik@yahoo.com 
Etablissement BAUDELAIRE,Primaire/Privé,Ariana,"20 AVENUE DE LA DEMOCRATIE   El Menzah 5 ,Ariana",71753345,None
Établissement BEN M'RAD,Primaire/Privé,Ariana,"9 rue tarek ibn ziad Mutuelleville ,Ariana",22570864/20836299/55307515,None
Établissement BEN M'RAD,Primaire/Privé,Ariana,"9 rue tarek ibn ziad Mutuelleville ,Ariana",None,None
Établissement Channoufi,Primaire/Privé,Tunis,"11, Jughurta-Mutuelle Ville ,Tunis",20851469/22404170, etablissementchannoufiecole@gmail.com 
Etablissement Hassoumi,Primaire/Privé,Tunis,"113 Av 20 Mars Bardo 2000 ,Tunis",71512407/52330902,None
ETABLISSEMENT LA REPUBLIQUE,Secondaire/Privé,Ariana,"02 rue IBN AL MOUKAFAA ,Ariana",71701100/31141633, contact@etablissement-la-republique.com 
Etablissement La Republique,Primaire/Privé,Ariana,"ARIANA ville ,Ariana",67170110, contact@etablissement-la-republique.com 
Etoile Sports School,Secondaire/Privé,Sousse,"Complexe Sportif de l'Etoile Sportive du Sahel Rue Kalâa Seghira ,Sousse",24208708, contact@esschool.tn 
Ettaalok,Primaire/Privé,Sfax,"Route Menzel Chaker km 6,5 Avenue Erriadh ,Menzel chaker",74653097/99452346/53452346, ecole.ettaalok@yahoo.com 
Ettamayoz,Primaire/Privé,Kairouan,"Quartier Nahj Al-Mokades Al-Nour, Buhajla ,Kairouan",94115728,None
Ettawfik,Primaire/Privé,Monastir,"Téboulba ,Monastir",73497201, ettawfik_2013@yahoo.fr 
Europe de Com School of Business,Supérieur/Privé,Tunis,"30 Rue Platon, Zone d'activité Khaireddine, Les Berges du Lac III ,Tunis",71182300, info@uetunis.com 
Everest Academy,Primaire/Privé,Manouba,"63 Rue des orangers (en face de la propriété foncière) ,Manouba",95018828/95018829/71601685, everestacademy@topnet.tn 
Excel High School,Secondaire/Privé,Ben Arous,"Rue de Tunis Meliene Radès ,Ben Arous",28422808,None
Excel school RADES,Primaire/Privé,Ben Arous,"rue re tunis ,Radès",28422808,None
Excellence School,Primaire/Privé,Monastir,"Avenue des Combattants ,Monastir",73449233/73448166, excellenceschool.Monastir@yahoo.fr 
Excellence school,Primaire/Privé,Monastir,"prés college mahmoud messaadi   Jammal ,Jammel",97126403,None
Excellence School,Secondaire/Privé,Ben Arous,"Près de la pharmacie de nuit, Mourouj 6 ,Ben Arous",27058086/21029252,None
EXCELLENCE SCHOOL CARTHAGE,Primaire/Privé,Tunis,"47, Avenue Neptune, Jardins de Carthage ,Tunis",71698109,None
Excellence School Jemmel,Primaire/Privé,Monastir,"Près du Collège Mahmoud Messaadi, Jemmel ,Monastir",53482032/97126403, excellencejemmel@gmail.com 
Excellentia,Primaire/Privé,Tunis,"04 rue Bassora La Fayette ,Tunis",20295419, excellentiacademy@gmail.com 
Eya School - Degache,Primaire/Privé,'Tozeur',"Cité Hassnaoui, Dgueche ,'Tozeur'",96870534, eyaschool@gmail.com 
Faculté de Droit de Sfax - FDS,Supérieur/Public,Sfax,"Route de Sidi Mansour - km 10 ,Sfax",74272445/74272301, fdsf@fdsf.rnu.tn 
Faculté de Droit et des Sciences Politiques de Sousse (FDSPS),Supérieur/Public,Sousse,"Cité Riadh ,Sousse Ryadh",73232666/73232769,None
Faculté de Droit et des Sciences Politiques de Tunis,Supérieur/Public,Tunis,"Campus Universitaire - El Manar ,Tunis",71870420/71871828/71870772, scolarite@fdspt.rnu.tn 
Faculté de Management et des Sciences de l'Administration de Sousse - FMSA,Supérieur/Privé,Sousse,"Rue Liberté SAHLOUL ,Sousse",73822598/50845150, info@fmsa.ens.tn 
Faculté de Médecine de Monastir (FMM),Supérieur/Public,Monastir,"Avenue Avicenne ,Monastir",73462200, fmm@fmm.rnu.tn 
Faculté de Médecine de Sfax (F.M.S),Supérieur/Public,Sfax,"Avenue Majida BOULILA ,Sfax",74241888, administrationfms@medecinesfax.org 
Faculté de Médecine de Sousse (FMS),Supérieur/Public,Sousse,"Rue Mohamed Karoui ,Sousse",73222108, doyen.fms@gmail.com 
Faculté de Médecine de Tunis,Supérieur/Public,Tunis,"Rue Djebal Lakhdar ,Tunis",71563709/71563710, doyen@fmt.utm.tn 
Faculté de Médecine Dentaire de Monastir (fmdm),Supérieur/Public,Monastir,"Avenue Avicenne ,Monastir",73460832, fmdm@fmdm.rnu.tn 
Faculté de Pharmacie de Monastir,Supérieur/Public,Monastir,"Rue Ibn Sina ,Monastir",73461000, faculte-pharmacie@fphm.rnu.tn 
Faculté des Lettres et des Sciences Humaines de Kairouan - FLSHK,Supérieur/Public,Kairouan,"Rakada ,Kairouan",77323177/77323030, lettres.kairouan@flshk.rnu.tn 
Faculté des Lettres et des Sciences Humaines de Sfax (F.L.S.H.S.),Supérieur/Public,Sfax,"Route de l'aéroport- Km 4.5 ,Sfax",74670544/74670557, flshs@flshs.rnu.tn 
Faculté des Lettres et des Sciences Humaines Sousse,Supérieur/Public,Sousse,"Cité Erriadh B-P 547 ,Sousse",73301801/73301800, flsh.sousse@fls.rnu.tn 
"Faculté des Lettres, des Arts et des Humanités de la Manouba (FLAH)",Supérieur/Public,Manouba,"Campus Universitaire de la Manouba ,Manouba",71600700/71601287/71601391/71601447, flm@flm.rnu.tn 
Faculté des Sciences de Bizerte,Supérieur/Public,Bizerte,"Jarzouna ,Bizerte",72590175, fsb@fsb.rnu.tn 
Faculté des Sciences de Gabès,Supérieur/Public,Gabès,"Cité Erriadh Zrig ,Gabès",75392600/75392421, mail@fsg.rnu.tn 
Faculté des Sciences de Gafsa,Supérieur/Public,Gafsa,"Campus Universitaire Sidi Ahmed Zarroug ,Gafsa",76211024, webmasterfsgf@gmail.com 
Faculté des Sciences de Monastir (FSM),Supérieur/Public,Monastir,"Avenue de l'environnement ,Monastir",73500276, fsm@fsm.rnu.tn 
FACULTÉ DES SCIENCES DE SFAX - FSS,Supérieur/Public,Sfax,"Rte de la Soukra km 4 ,Sfax",74276400/74276763, fss@www.fss.rnu.tn 
Faculté des Sciences de Tunis - FST,Supérieur/Public,Tunis,"Campus Universitaire - El Manar ,Tunis",71872600,None
Faculté des Sciences Economiques et de Gestion (FSEG) de Sfax,Supérieur/Public,Sfax,"Route de l’Aéroport Km 4 ,Sfax",74278777, contact@fsegs.rnu.tn 
Faculté des Sciences Economiques et de Gestion de Mahdia - FSEG MAHDIA,Supérieur/Public,Mahdia,"Sidi Messaoud - Hiboun ,Mahdia",73683191/73683192, fsegma@fsegma.rnu.tn 
Faculté des Sciences Economiques et de Gestion de Nabeul - FSEG NABEUL,Supérieur/Public,Nabeul,"Campus universitaire Mrezga Route Hammamet ,Nabeul",72232205, fsegn@fsegn.rnu.tn 
Faculté des Sciences Economiques et de Gestion de Sousse - FSEG Sousse,Supérieur/Public,Sousse,"Cité Riadh ,Sousse",73301808, contact@fsegso.rnu.tn 
Faculté des Sciences Economiques et de Gestion de Tunis - FSEGT,Supérieur/Public,Tunis,"B.P 248 El Manar II ,Tunis",71870277, contact@fsegt.rnu.tn 
Faculté des Sciences et Techniques de Sidi Bouzid,Supérieur/Public,Sidi Bouzid,"Campus Universitaire, Cité agricole ,Sidi Bouzid",76636260, issam.hamdi@fstsbz.rnu.tn 
Faculté des Sciences Humaines et Sociales de Tunis - FSHST,Supérieur/Public,Tunis,"94 BD du 9 Avril 1938 ,Séjoumi",71560840, fshst@fshst.rnu.tn 
Faculté des Sciences Juridiques Economiques et de Gestion Jendouba - FSJEGJ,Supérieur/Public,Jendouba,"Avenue de l'U.M.A ,Jendouba",78600300, fsjegj@fsjegj.rnu.tn 
"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis (FSJPST)",Supérieur/Public,Tunis,"B.P. 40, 1080 Tunis cedex ,Tunis",71752750/71753892, contact@fsjps.rnu.tn 
FAKHER CENTRE,Supérieur/Privé,Sousse,"Rue ribat immeuble daghrir bureau N°9 ,Sousse",97220617, fakhercentre@hotmail.fr 
Farabi-Jedaida,Primaire/Privé,Manouba,"Jedaida ,Manouba",58800701, schoolalfarabi2020@gmail.com 
FB La Marsa,Primaire/Privé,Tunis,"Cité Jinène Eddonya ,La Marsa",71849436/70028034, contactfblamarsa@fb-tunis.org 
FB Tunis,Primaire/Privé,Tunis,"8, rue d'Angola Tunis ,Tunis",71782342, contact@fb-tunis.org 
FINLAND LEADERS SCHOOL (FLS),Primaire/Privé,Tunis,"20, Rue Ibn Hazm El andaloussi - El Menzah 7 ,Tunis",36136333, finland.leaders.school@gmail.com 
FIRST SCHOOL,Primaire/Privé,Tunis,"Centre Urbain Nord |Immeuble Fujifilm  Cité Khadra, ,Tunis",71238576/28729000, contact@first-school.org 
First School,Primaire/Privé,Gabès,"Rue Ahmed Tlili, EL Hamma ,Gabès",75335906,None
Fleur de vie,Primaire/Privé,Sousse,"Route de Zaouiet Sousse, près de Monoprix ,Sousse",95839790, fleurdeviefv@gmail.com 
Fondation Habib Bourguiba,Primaire/Privé,Ariana,"04 Rue Medinat Radhoua  Ennasr 2 ,Ariana Ville",71811380/24150101, groupescolaire.descartes@gmail.com 
Fondation KHOUADJA Dream School,Primaire/Privé,Tunis,"33, Bis Rue Tahar SFAR, El Manar ,Tunis",23123123/71887983/71887982,None
Forsan Al andalous,Primaire/Privé,Ariana,"rue sadok belhaj kalet el andalous ,Ariana",54000698/28846729, forsenelandalous@gmail.com 
Freinet,Primaire/Privé,Ariana,"Dar Fadhal Soukra, Ariana ,Ariana",71761456/98287184,None
future leaders academy,Primaire/Privé,Sidi Bouzid,"Av. Union Maghreb Arab ,Sidi Bouzid",20517171/20518181, fuleadacademy@gmail.com 
Future School,Primaire/Privé,Nabeul,"Rue Istanbul AFH1 ,Nabeul",72222288, contact@futureschool.tn 
generation elites,Primaire/Privé,Tunis,"54 Rue cheikh Mouhamed Enneifer, Ain Zaghouan, Aouina ,Tunis",53909090/70736264, info@generation-elites.com 
Genius Primary School,Primaire/Privé,Mahdia,"Avenue Habib Bourguiba ,Ksour Essef",99175800/73663131/52229827,None
George Sand,Primaire/Privé,Ariana,"Rue de Pinson prolongement cité ennasr ,Ariana",50183479, ecolegeorgesand.tn@gmail.com 
Georges Brassens,Primaire/Privé,Ben Arous,"7 Rue Mongi Bali ,Megrine",71296492, brassens.megrine@gnet.tn 
Georges Sand,Primaire/Privé,Nabeul,"Rue Kheireddine ,Nabeul",72285117, egs.nabeul@gmail.com 
Gilles de Gennes,Primaire/Privé,Tunis,"3 rue Ibn Bassam, El Menzah 4، ,Tunis",54233592/71236058, ecolegillesdegennes@gmail.com 
Glory school,Primaire/Privé,Sfax,"Route Menzel Chaker km 4.5 , prêt de STEG, oued chabouni ,Sfax sud",74623655/93078884, info.gloryschool@gmail.com 
Golden Pen School,Primaire/Privé,Mahdia,"Rue La Grande Mosquée, centre ville ,Chebba",21233133, goldenpenschool@gmail.com 
Golden School,Primaire/Privé,Sfax,"55 rue Commandant Béjaoui ,Sfax",74201651, goldenschool.sfax@gmail.com 
Groupe Scolaire L'exploit,Primaire/Privé,Bizerte,"Errimel ,Menzel Jemil",28303250/50162494/50351004,None
Groupe Scolaire Victor Hugo,Primaire/Privé,Médenine,"Djerba, Houmet Souk ,Mednine Sud",75620908, victorhugojerba@gmail.com 
Gtar School,Primaire/Privé,Gafsa,"Rue Ahmed El Gtari ,El Guettar",97548197,None
Gustave Flaubert,Secondaire/Privé,Tunis,"16 Rue Othman El Kaak ,La Marsa",71740940/31355600,None
Guy-de-Maupassant (EGM),Primaire/Privé,Sousse,"Boulevard El Ghazali, Cité Bouahsina ,Sousse",73232378, epfm.sousse@gnet.tn 
HABIB THAMEUR,Primaire/Privé,Tunis,"Rue Piree ,Tunis",20097577/24449082/58087577, ecole.primaire.p.habib.thameur@gmail.com 
HABIBA SCHOOL,Primaire/Privé,Ben Arous,"Cité El hidhab ,Fouchana",79408197,None
Halima School Kebili,Primaire/Privé,Kébili,"Route de Tozeur ,Kébili",99451744, halimalakdhar@gmail.com 
Hamdi School,Primaire/Privé,Manouba,"Cité Riadh, Mornaguia ,Manouba",71551028, contact@hamdischool.tn 
Hanin School,Primaire/Privé,Nabeul,"Avenue de l'Environement ,Menzel Temime",36140407/46306872, hanin.school2018@outlook.com 
Hannibal,Primaire/Privé,Monastir,"Rue Jezia Hellalia, Cité Riadh 1 ,Ksar Helal",73546397,None
Hannibal Academie,Primaire/Privé,Zaghouan,"Rue Slah Eddine Bouchoucha, El Fahs ,Zaghouan",97749633, hannibal.academie@yahoo.com 
HAPPY CHILD School,Primaire/Privé,Sousse,"Rue de togo sahloul 1 ,Sousse",73821073, happychildschool2016@gmail.com 
Hiba School,Primaire/Privé,Nabeul,"Rue hbib borguiba ,Menzel Bouzelfa",72293412/21089768,None
IAE TUNIS,Supérieur/Privé,Tunis,"Place d’Afrique (Jeanne d’Arc) 95, rue de la Palestine, Le Belvédère ,Tunis",94569697/25526626/99990177/71845263/71845264, contact@iaetunis.com 
Ibn Al Haytham,Primaire/Privé,Ariana,"rue kamal kilani omran Franceville ,Ariana",55546706,None
Ibn Arafa,Secondaire/Public,Ben Arous,"2 RUE 1ER JUIN ,Megrine ,Ben Arous",71428500,None
Ibn Cina 2 Makther,Primaire/Privé,Siliana,"Makther ,Siliana",78827069, ibncina2.makther@gmail.com 
Ibn Khaldoun,Primaire/Privé,Kairouan,"Sbikha ,Kairouan",77231000,None
Ibn Khaldoun,Primaire/Privé,Bizerte,"7 Rue le Nord ,Bizerte",99151670,None
Ibn Khaldoun Mhamdia,Primaire/Privé,Ben Arous,"Rue 14 janvier Mhamdia ,Ben Arous",95800002, ibnkhaldoun.school@outlook.com 
IBN KHALDOUN SCHOOL,Primaire/Privé,Sousse,"Place du Maghreb Arabe ,Sousse",73213812/73213811,None
ibn nafis,Primaire/Privé,Kasserine,"rue 42269 n°1 CIT2 Essalama ,Azzouhour",26670442, ecole.ibnnafis@gmail.com 
Ibn Rachik,Primaire/Privé,Manouba,"Rue Bourguiba, 20 Mars ,Manouba",97783227/54824848,None
Ibn Rochd,Secondaire/Public,Manouba,"3 Rue Al Qudissia ,Manouba",71609380,None
Ibn Sina - AVICENNE,Primaire/Privé,'Tozeur',"Avenue Farhat Hachad, derrière banque Zitouna ,'Tozeur'",90380500/90276000,None
Ichrakat Al Ghad,Primaire/Privé,Nabeul,"Route du Stade ,Béni Khalled",98955960, ichrakat.alghad@gmail.com 
Idéal School Ariana,Primaire/Privé,Ariana,"3 rue les iles comores, Ariana Ville ,Ariana",71857343/71857342/25101012, idealschool.ariana@gmail.com 
Ideal school jammel,Primaire/Privé,Monastir,"rue abou kecem chabi zaouiet kontech ,Jammel",73482101, idealschool-hana@hotmail.com 
Idéale Plus,Primaire/Privé,Nabeul,"Rue 3 aout, route de ceinture ,Hammamet",98749441/22916877, ideale.ghalleb@gmail.com 
IHE-ESPITA,Supérieur/Privé,Sousse,"Avenue de la Liberté Sahloul2 ,Sousse",73826685, espita@espita.ens.tn 
IHEC Carthage,Supérieur/Public,Tunis,"Rue Victor Hugo, Carthage-Présidence ,Carthage",71774720,None
IHEC Sousse,Supérieur/Public,Sousse,"Route Hzamia Sahloul 3 - BP n° 40 ,Sousse",73368351/73368358, ihecsousse@ihecso.rnu.tn 
Ile Des Rêves,Primaire/Privé,Sousse,"Cité Sahloul 2, Sahloul Sousse ,Hammam sousse",73821300,None
Insaf School,Primaire/Privé,Bizerte,"Rue Mahdia, El Alia ,Bizerte",28650196,None
Insight School Of Chebba - ISC,Primaire/Privé,Mahdia,"Cité Al Bassatine ,Chebba",29004006/29004706, info@ischebba.com 
Institut  Supérieur d’Informatique du Kef (ISI),Supérieur/Public,Kef,"5 Rue Saleh Ayech ,Kef",78201056,None
Institut Bourguiba des Langues Vivantes - IBLV,Supérieur/Public,Tunis,"47 Av. de la liberté ,Tunis",71832418/71832923, iblv@iblv.utm.tn 
Institut Challenge De Formation - معهد التحدي للتكوين,Supérieur/Privé,Monastir,"Rue Chédhly Ghédira Immeuble Sakji Premier étage Monastir République ,Monastir",73447257/52747257, contact@3cchallenge.com.tn 
INSTITUT DE PRESSE ET DES SCIENCES DE L'INFORMATION - IPSI,Supérieur/Public,Manouba,"Campus universitaire ,Manouba",71600831, contact@ipsi.rnu.tn 
Institut de Services en Informatique du Sahel (ISIS),Supérieur/Privé,Sousse,"17, Avenue Tahar Sfar, Imm. Rhayem ,Sousse",73215536/98826695, isis.laajimi@topnet.tn 
Institut des Etudes Appliquées en Humanités de Sbeïtla - ISEAH,Supérieur/Public,Kasserine,"Route Kasserine Sbeitla ,Kasserine",77465160, iseahsbeitla@gmail.com 
Institut des Hautes Etudes Commerciales de Sfax - IHEC Sfax,Supérieur/Public,Sfax,"Route Sidi Mansour Km 10 B.P 43 ,Sfax",74272970/74879085, ihecsf@ihecsf.rnu.tn 
Institut des Hautes Etudes de Tunis (IHE),Supérieur/Public,Tunis,"3 Avenue Jugurtha - Mutuelleville ,Tunis",71841855/71844136, iehet@gnet.tn 
Institut des Hautes Etudes Touristiques de Sidi Dhrif (IHET),Supérieur/Public,Tunis,"Sidi Dhrif - 2026 Sidi Bou Saïd ,Tunis",71741466/71741184, ihet@email.ati.tn 
Institut International du Numérique et de l'Audiovisuel - IINA,Supérieur/Privé,Tunis,"82 Rue Jugurtha, Mutuelle ville ,Tunis",71520364/58443410, contact@iina.tn 
INSTITUT INTRNATIONAL DE TECHNOLOGIE (IIT),Supérieur/Privé,Sfax,"B.P 1163 Route M'Harza Km.1.5 ,Sfax",74465020, info@iit.tn 
Institut National Agronomique de Tunisie (INAT),Supérieur/Public,Tunis,"43, Avenue Charles Nicolle 1082 -Tunis- Mahrajène ,Tunis",71287110/71289431/71892785, mail@inat.rnu.tn 
Institut National de la Recherche Agronomique de Tunisie (INRAT),Supérieur/Public,Ariana,"Rue Hédi Karray ,Ariana",71230024/71230239, bo.inrat@iresa.agrinet.tn 
"Institut National de Recherches en Génie Rural, Eaux et Forêts INRGREF",Supérieur/Public,Ariana,"Rue Hédi EL Karray El Menzah IV BP 10 ,Ariana",71709033/71719630/71230039, inrgref@iresa.agrinet.tn 
Institut National des Sciences Appliquées et de Technologie - INSAT,Supérieur/Public,Tunis,"Centre Urbain Nord BP 676 - Tunis Cedex ,Tunis",71703829/71703929/71703627,None
Institut National du Travail et des Etudes Sociales (INTES),Supérieur/Public,Ariana,"44 rue de l'artisanat Charguia 2 ,Soukra",70836538, intes@intes.rnu.tn 
Institut Pasteur de Tunis (IPT),Supérieur/Public,Tunis,"13, place Pasteur, BP 74 Tunis, Belvédère ,El Menzah",71783022, contact@pasteur.rns.tn 
Institut Polytechnique Privé des Sciences Avancées,Supérieur/Privé,Sfax,"Avenue 5 Août Rue Saîd Aboubaker ,Sfax",74225665/74227011, uls.sfax@uls.ens.tn 
Institut Préparatoire aux Etudes d'Ingénieurs de Bizerte,Supérieur/Public,Bizerte,"Rue Manzel Abderahmen, Zarzouna ,Bizerte",72593450, ipeibizerte@yahoo.fr 
Institut Préparatoire aux Etudes d'Ingénieurs de Gafsa,Supérieur/Public,Gafsa,"Rue El Khayzorani Zarroug ,Gafsa",76210043, sgandouz@gmail.com 
